Metric: 1;
featureCount;featureAdded;train;test;
8;A/B FC1;1.0;0.491666666667;
9;A/B P8;1.0;0.491666666667;
10;PSD T8(theta);1.0;0.508333333333;
11;RASM F7,F8;1.0;0.483333333333;
12;PSD CP1(delta);1.0;0.466666666667;
13;PSD CP6(theta);1.0;0.5;
14;PSD FC5(theta);1.0;0.466666666667;
15;PSD CP2(delta);1.0;0.508333333333;
16;A/B Oz;1.0;0.475;
17;PSD FC1(delta);1.0;0.45;
18;PSD P7(delta);1.0;0.441666666667;
19;PSD FC6(theta);1.0;0.483333333333;
20;PSD PO4(theta);1.0;0.533333333333;


Metric: 7;
featureCount;featureAdded;train;test;
1;avg GSR;0.995833333333;0.591666666667;
2;PSD T8(delta);1.0;0.516666666667;
3;avg Temperature;1.0;0.483333333333;
4;PSD CP2(delta);1.0;0.475;
5;PSD Pz(delta);1.0;0.491666666667;
6;PSD P7(delta);1.0;0.508333333333;
7;PSD CP6(theta);1.0;0.5;
8;PSD CP1(delta);1.0;0.433333333333;
9;DASM FC5,FC6;1.0;0.458333333333;
10;RASM FC5,FC6;1.0;0.491666666667;
11;PSD C3(delta);1.0;0.441666666667;
12;PSD Cz(delta);1.0;0.483333333333;
13;PSD Pz(theta);1.0;0.483333333333;
14;PSD CP5(delta);1.0;0.55;
15;A/B F7;1.0;0.433333333333;
16;avg Plethysmograph;1.0;0.475;
17;PSD FC2(delta);1.0;0.483333333333;
18;DASM F7,F8;1.0;0.533333333333;
19;PSD C4(delta);1.0;0.491666666667;
20;DASM F7,F8;1.0;0.5;


Metric: 8;
featureCount;featureAdded;train;test;
1;DE F3(theta);0.866666666667;0.483333333333;
2;PSD F3(theta);0.866666666667;0.483333333333;
3;DCAU Fp1,O1;1.0;0.458333333333;
4;RCAU Fp1,O1;1.0;0.45;
5;avg GSR;1.0;0.516666666667;
6;RCAU Fp1,O1;1.0;0.491666666667;
7;DCAU Fp1,O1;1.0;0.458333333333;
8;RCAU Fp1,O1;1.0;0.45;
9;DE CP2(theta);1.0;0.458333333333;
10;DCAU Fp1,O1;1.0;0.475;
11;PSD P3(delta);1.0;0.475;
12;DCAU Fp1,O1;1.0;0.466666666667;
13;RCAU Fp1,O1;1.0;0.5;
14;PSD CP2(theta);1.0;0.5;
15;DE P3(delta);1.0;0.45;
16;DE P8(gamma);0.995833333333;0.466666666667;
17;DASM P3,P4;1.0;0.466666666667;
18;DE CP1(theta);1.0;0.508333333333;
19;RASM FC5,FC6;1.0;0.458333333333;
20;A/B Oz;1.0;0.5;


Metric: 9;
featureCount;featureAdded;train;test;
1;RASM P3,P4;0.995833333333;0.491666666667;
2;DE AF4(beta);1.0;0.491666666667;
3;DE AF4(gamma);1.0;0.458333333333;
4;DE AF4(alpha);1.0;0.491666666667;
5;PSD AF4(beta);1.0;0.491666666667;
6;PSD AF4(alpha);1.0;0.491666666667;
7;PSD AF4(gamma);1.0;0.491666666667;
8;RASM P3,P4;1.0;0.491666666667;
9;DCAU F7,P7;1.0;0.483333333333;
10;RASM P3,P4;1.0;0.533333333333;
11;DASM F7,F8;1.0;0.5;
12;DCAU Fz,Pz;1.0;0.475;
13;PSD AF4(delta);1.0;0.5;
14;DCAU Fz,Pz;1.0;0.5;
15;PSD F7(beta);1.0;0.483333333333;
16;DE F7(beta);1.0;0.45;
17;RASM AF3,AF4;1.0;0.516666666667;
18;PSD F7(alpha);1.0;0.5;
19;DCAU Fz,Pz;1.0;0.458333333333;
20;DE F7(alpha);1.0;0.483333333333;


